year,statefips,countyfips,ice_wanh_ba,ice_wanh_aa,ice_wanh_h
2015-2019,48,049,0.14025955999722395,0.1465056561871053,0.11159691859254632
2015-2019,48,051,0.11160058737151249,0.19441997063142438,0.160352422907489
2015-2019,48,053,0.24296721017738757,0.24201158693185212,0.22015170519022875
2015-2019,48,055,0.12020802377414562,0.1351411589895988,0.03781575037147102
2015-2019,48,057,0.13954101820100237,0.13386969137430757,0.07029807438670535
2015-2019,48,059,0.15036333147009504,0.1539034842556363,0.13750698714365567
2015-2019,48,061,0.0322619477549055,0.031539665342482245,-0.27157818707114484
2015-2019,48,063,0.05428881650380022,0.12855591748099893,0.08751357220412595
2015-2019,48,065,0.3094405594405594,0.3094405594405594,0.2902097902097902
2015-2019,48,067,0.05580693815987934,0.14228255404725992,0.1412770236299648
2015-2019,48,069,0.0750394944707741,0.07859399684044234,-0.07345971563981042
2015-2019,48,071,0.3086928708508067,0.33243300874262566,0.2966095671334139
2015-2019,48,073,0.0813761164406219,0.1512845958760613,0.12018965707354724
2015-2019,48,075,0.1354383049439136,0.12463647694225176,0.045700041545492315
2015-2019,48,077,0.2194884287454324,0.2194884287454324,0.20706455542021923
2015-2019,48,079,0.05410821643286573,0.11122244488977956,-0.0841683366733467
2015-2019,48,081,0.11618004866180048,0.11618004866180048,0.06995133819951338
2015-2019,48,083,0.14022787028921999,0.14022787028921999,0.10984516505988899
2015-2019,48,085,0.3180004865709353,0.31916708435557195,0.3156966025037885
2015-2019,48,087,0.04734299516908213,0.1391304347826087,0.0782608695652174
2015-2019,48,089,0.1410738255033557,0.18442953020134228,0.13986577181208054
2015-2019,48,091,0.3105690423812954,0.3127883660716024,0.28113380185722353
2015-2019,48,093,0.14051394204483325,0.13996719518862766,0.10807362857663569
2015-2019,48,095,0.1611842105263158,0.1611842105263158,0.08223684210526316
2015-2019,48,097,0.22539248257442512,0.23776952641521726,0.22135365774216664
2015-2019,48,099,0.10904040856554072,0.120419317265478,0.08928411432667324
2015-2019,48,101,-0.028288543140028287,0.08062234794908062,-0.002828854314002829
2015-2019,48,103,0.18789584799437017,0.19141449683321604,0.10344827586206896
2015-2019,48,105,0.14623338257016247,0.14623338257016247,-0.007385524372230428
2015-2019,48,107,0.07083939835031539,0.08685104318292092,-0.09364386220281416
2015-2019,48,109,0.06896551724137931,0.06896551724137931,-0.22586206896551725
2015-2019,48,111,0.11844331641285956,0.11844331641285956,0.050761421319796954
2015-2019,48,113,0.08269051997057116,0.14594313942829198,0.10129036636322214
2015-2019,48,115,0.0879222582137899,0.10874595094863489,-0.14021286441462286
2015-2019,48,117,0.074206672091131,0.07404393816110659,-0.0870626525630594
2015-2019,48,119,0.16358179089544772,0.20260130065032517,0.20260130065032517
2015-2019,48,121,0.3014137112418125,0.3099931433454272,0.29847120721912695
2015-2019,48,123,0.1627412031782066,0.1938138479001135,0.11506810442678773
2015-2019,48,125,0.0863905325443787,0.1349112426035503,0.01893491124260355
2015-2019,48,127,0.05749682337992376,0.05749682337992376,-0.3742058449809403
2015-2019,48,129,0.12808988764044943,0.13857677902621723,0.12734082397003746
2015-2019,48,131,0.001708914839077186,0.001708914839077186,-0.32270008544574197
2015-2019,48,133,0.13000616142945162,0.1337030191004313,0.09750462107208872
2015-2019,48,135,0.11671425851894156,0.12859318484675425,0.03367599466971254
2015-2019,48,137,0.11280101394169835,0.11280101394169835,-0.057034220532319393
2015-2019,48,139,0.2609628841153786,0.2818678346449823,0.25752525869440035
2015-2019,48,141,0.03725541351421863,0.042163914874585366,-0.18612798628452162
2015-2019,48,143,0.19742552408973887,0.20191246781905112,0.160794409709452
2015-2019,48,145,-0.029813425658780535,0.10290440469321023,0.060973264089247935
2015-2019,48,147,0.1923231349875532,0.20846382397815788,0.2005139323857705
2015-2019,48,149,0.17438423645320197,0.21094690749863163,0.18642583470169677
2015-2019,48,151,0.15552779512804496,0.16677076826983137,0.06183635227982511
2015-2019,48,153,0.07573756054601496,0.09819462791721709,-0.05239982386613826
2015-2019,48,155,0.11444652908067542,0.11444652908067542,0.05628517823639775
2015-2019,48,157,0.2064796559653275,0.21487874291143125,0.19871533484948484
2015-2019,48,159,0.20580075662042877,0.22194199243379573,0.2098360655737705
2015-2019,48,161,0.12903225806451613,0.19251257768570584,0.18230245634803197
2015-2019,48,163,0.07463672391017173,0.07243505063848525,-0.15191545574636725
2015-2019,48,165,0.17721954576737783,0.17859600825877495,0.11063317274604267
2015-2019,48,167,0.24145654572703767,0.27526803801116617,0.2411106902287587
2015-2019,48,169,0.07841866493843162,0.1270252754374595,0.06545690213869086
2015-2019,48,171,0.23433701140826632,0.23433701140826632,0.20394613802132036
2015-2019,48,173,0.38461538461538464,0.38461538461538464,0.2704714640198511
2015-2019,48,175,0.20572057205720573,0.21195452878621196,0.06857352401906858
2015-2019,48,177,0.10266159695817491,0.13959804454101032,0.051873981531776206
2015-2019,48,179,0.1589294774226281,0.16831557584982243,0.11707255200405885
2015-2019,48,181,0.17575432368844676,0.19676394105749784,0.18198703925372517
2015-2019,48,183,0.08655961284645843,0.16225252969643641,0.1333919929608447
2015-2019,48,185,0.1522583509044501,0.2031960936633004,0.1778936854955055
2015-2019,48,187,0.20517464424320828,0.21230826094991684,0.1577157641840695
2015-2019,48,189,0.08460623799506083,0.09265526387999634,-0.03000091466203238
2015-2019,48,191,0.056037884767166535,0.0947119179163378,-0.007103393843725336
2015-2019,48,193,0.20207427233188358,0.2104382736701238,0.195717631314821
2015-2019,48,195,0.11371055495103373,0.11153427638737759,-0.03917301414581066
2015-2019,48,197,0.08709273182957393,0.12907268170426064,0.06328320802005012
2015-2019,48,199,0.23717637932706293,0.26306603316202853,0.2555512460001939
2015-2019,48,201,0.11006323783705667,0.15656161079578015,0.09328390749036981
2015-2019,48,203,0.09350850077279753,0.1709170530654302,0.15232697922033317
2015-2019,48,205,0.22943980929678187,0.22943980929678187,0.20798569725864124
2015-2019,48,207,0.033550792171481825,0.07222739981360671,-0.0027958993476234857
2015-2019,48,209,0.21971213421027547,0.22432833585249942,0.16806242085052495
2015-2019,48,211,0.29892141756548535,0.29892141756548535,0.24345146379044685
2015-2019,48,213,0.13899274961797314,0.1608414344702019,0.13840751698800274
2015-2019,48,215,0.021527617529211857,0.02045773983091737,-0.2856699322410791
2015-2019,48,217,0.16217672413793102,0.18426724137931033,0.16071428571428573
2015-2019,48,219,0.1395523321245467,0.15793422533450044,0.04776791296736276
2015-2019,48,221,0.28999638858793786,0.2903575297941495,0.2740158902130733
2015-2019,48,223,0.1609803337306317,0.18705303933253872,0.1648539928486293
2015-2019,48,225,-0.017813863305865246,0.08955404750363548,0.06034900630150267
2015-2019,48,227,0.13250180766449746,0.1705531453362256,0.09878886478669559
2015-2019,48,229,0.08077709611451943,0.08077709611451943,-0.19529652351738241
2015-2019,48,231,0.15517189430232908,0.1948838470577601,0.1786736569345265
